2026-07-20 21:39:26 | INFO     | meteorologi_chatbot.parser | PowerPointParser initialised. Data dir: d:\Regulasi Internasional Meteorologi\UAS
2026-07-20 21:39:26 | INFO     | meteorologi_chatbot.parser | Discovered 6 .pptx file(s) in 'd:\Regulasi Internasional Meteorologi\UAS'
2026-07-20 21:39:26 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 09_M8C_250526.pptx': 35 slide(s) extracted.
2026-07-20 21:39:26 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 10_M8C_080626.pptx': 32 slide(s) extracted.
2026-07-20 21:39:26 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 11_M8C_150626.pptx': 25 slide(s) extracted.
2026-07-20 21:39:27 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 12_M8C_XX0626.pptx': 11 slide(s) extracted.
2026-07-20 21:39:27 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 13_M8C_290626.pptx': 21 slide(s) extracted.
2026-07-20 21:39:27 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 14_M8C_060726.pptx': 11 slide(s) extracted.
2026-07-20 21:39:27 | INFO     | meteorologi_chatbot.embeddings | Chunking complete: 135 slide(s) → 135 chunk(s)
2026-07-20 21:39:27 | INFO     | meteorologi_chatbot.embeddings | Initialising embedding model: models/text-embedding-004
2026-07-20 21:41:59 | INFO     | meteorologi_chatbot.parser | PowerPointParser initialised. Data dir: d:\Regulasi Internasional Meteorologi\UAS
2026-07-20 21:42:00 | INFO     | meteorologi_chatbot.parser | Discovered 6 .pptx file(s) in 'd:\Regulasi Internasional Meteorologi\UAS'
2026-07-20 21:42:00 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 09_M8C_250526.pptx': 35 slide(s) extracted.
2026-07-20 21:42:00 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 10_M8C_080626.pptx': 32 slide(s) extracted.
2026-07-20 21:42:00 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 11_M8C_150626.pptx': 25 slide(s) extracted.
2026-07-20 21:42:00 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 12_M8C_XX0626.pptx': 11 slide(s) extracted.
2026-07-20 21:42:01 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 13_M8C_290626.pptx': 21 slide(s) extracted.
2026-07-20 21:42:01 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 14_M8C_060726.pptx': 11 slide(s) extracted.
2026-07-20 21:42:01 | INFO     | meteorologi_chatbot.embeddings | Chunking complete: 135 slide(s) → 135 chunk(s)
2026-07-20 21:42:01 | INFO     | meteorologi_chatbot.embeddings | Initialising embedding model: models/text-embedding-004
2026-07-20 21:44:07 | INFO     | meteorologi_chatbot.parser | PowerPointParser initialised. Data dir: d:\Regulasi Internasional Meteorologi\UAS
2026-07-20 21:44:07 | INFO     | meteorologi_chatbot.parser | Discovered 6 .pptx file(s) in 'd:\Regulasi Internasional Meteorologi\UAS'
2026-07-20 21:44:07 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 09_M8C_250526.pptx': 35 slide(s) extracted.
2026-07-20 21:44:07 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 10_M8C_080626.pptx': 32 slide(s) extracted.
2026-07-20 21:44:07 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 11_M8C_150626.pptx': 25 slide(s) extracted.
2026-07-20 21:44:08 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 12_M8C_XX0626.pptx': 11 slide(s) extracted.
2026-07-20 21:44:08 | INFO     | meteorologi_chatbot.parser | Parsed 'Regulasi Internasional Met 13_M8C_290626.pptx': 21 slide(s) extracted.
